Time,price
2007/3/25,657.4
2007/3/26,664.1
2007/3/27,664.41
2007/3/28,665.55
2007/3/29,661.5
2007/3/30,663.79
2007/3/31,663.79
2007/4/1,663.79
2007/4/2,664
2007/4/3,663.95
2007/4/4,674.35
2007/4/5,674.45
2007/4/6,675
2007/4/7,675
2007/4/8,675
2007/4/9,670.75
2007/4/10,677.9
2007/4/11,677.3
2007/4/12,676.1
2007/4/13,685.52
2007/4/14,685.52
2007/4/15,685.52
2007/4/16,690.2
2007/4/17,686.55
2007/4/18,690.05
2007/4/19,682.95
2007/4/20,691.95
2007/4/21,691.95
2007/4/22,691.95
2007/4/23,689.15
2007/4/24,683.65
2007/4/25,686.25
2007/4/26,674.75
2007/4/27,681.55
2007/4/28,681.55
2007/4/29,681.55
2007/4/30,678.45
2007/5/1,673.45
2007/5/2,673.15
2007/5/3,682.35
2007/5/4,688.85
2007/5/5,688.85
2007/5/6,688.85
2007/5/7,688.75
2007/5/8,685.65
2007/5/9,680.55
2007/5/10,665.65
2007/5/11,670.85
2007/5/12,670.85
2007/5/13,670.85
2007/5/14,669.75
2007/5/15,672.05
2007/5/16,662.15
2007/5/17,657.65
2007/5/18,661.75
2007/5/19,661.75
2007/5/20,661.75
2007/5/21,663.25
2007/5/22,659.25
2007/5/23,661.85
2007/5/24,654.65
2007/5/25,656
2007/5/26,656
2007/5/27,656
2007/5/28,655.55
2007/5/29,656.85
2007/5/30,653.45
2007/5/31,660.5
2007/6/1,671.75
2007/6/2,671.75
2007/6/3,671.75
2007/6/4,671.15
2007/6/5,670.05
2007/6/6,670.75
2007/6/7,659.15
2007/6/8,648.85
2007/6/9,648.85
2007/6/10,648.85
2007/6/11,653.65
2007/6/12,647.25
2007/6/13,651.75
2007/6/14,651.95
2007/6/15,655.35
2007/6/16,655.35
2007/6/17,655.35
2007/6/18,656.35
2007/6/19,661.45
2007/6/20,654.55
2007/6/21,651.73
2007/6/22,654.3
2007/6/23,654.3
2007/6/24,654.3
2007/6/25,651
2007/6/26,640.9
2007/6/27,643.5
2007/6/28,648.95
2007/6/29,649.65
2007/6/30,649.65
2007/7/1,649.65
2007/7/2,657.25
2007/7/3,653.2
2007/7/4,654.2
2007/7/5,649.5
2007/7/6,655.9
2007/7/7,655.9
2007/7/8,655.9
